Date,Open,High,Low,Close,Adj Close,Volume
1998-04-30,10163.200195,10527.700195,9590.799805,10005.700195,10005.700195,0
1998-05-31,10005.700195,10402.700195,9465.799805,10146.400391,10146.400391,0
1998-06-30,10180.799805,10989.799805,10180.799805,10493.700195,10493.700195,0
1998-07-31,10437.799805,10568.900391,7870.000000,8264.700195,8264.700195,0
1998-08-31,8264.700195,8735.299805,7090.799805,7676.500000,7676.500000,0
1998-09-30,7676.500000,8814.299805,6869.700195,8800.000000,8800.000000,0
1998-10-31,8928.299805,9981.900391,8789.099609,9645.500000,9645.500000,0
1998-11-30,9469.400391,10054.900391,9002.799805,9836.599609,9836.599609,0
1998-12-31,9971.299805,10920.099609,8905.599609,9878.799805,9878.799805,0
1999-01-31,9941.599609,10275.299805,9363.700195,9997.299805,9997.299805,0
1999-02-28,9997.299805,10276.200195,9588.799805,9740.700195,9740.700195,0
1999-03-31,9826.900391,10239.099609,9605.299805,9975.400391,9975.400391,0
1999-04-30,9975.400391,10416.299805,9911.299805,10072.299805,10072.299805,0
1999-05-31,10072.299805,10484.400391,9981.400391,10218.599609,10218.599609,0
1999-06-30,10290.000000,10555.599609,9234.200195,9391.900391,9391.900391,0
1999-07-31,9391.900391,10079.799805,9100.400391,9806.099609,9806.099609,0
1999-08-31,9850.200195,10117.000000,9420.299805,9525.400391,9525.400391,0
1999-09-30,9525.400391,9835.500000,9210.799805,9741.500000,9741.500000,0
1999-10-31,9741.500000,11022.799805,9697.700195,10958.099609,10958.099609,0
1999-11-30,10958.099609,11822.500000,10901.000000,11641.400391,11641.400391,0
1999-12-31,11641.400391,11881.799805,10770.500000,10835.099609,10835.099609,0
2000-01-31,10840.000000,12912.299805,10840.000000,12585.799805,12585.799805,0
2000-02-29,12585.799805,12968.500000,11633.799805,11935.000000,11935.000000,0
2000-03-31,11935.000000,11958.599609,10771.599609,11467.900391,11467.900391,0
2000-04-30,11569.200195,11974.400391,10211.299805,10688.500000,10688.500000,0
2000-05-31,10688.500000,11220.500000,10351.400391,10581.299805,10581.299805,0
2000-06-30,10581.299805,11063.900391,10375.000000,10531.599609,10531.599609,40551000
2000-07-31,10531.599609,11364.299805,10453.000000,10884.700195,10884.700195,156112200
2000-08-31,10938.599609,11510.200195,10629.599609,10950.000000,10950.000000,162510700
2000-09-30,10950.000000,11304.599609,9826.599609,10363.099609,10363.099609,192952900
2000-10-31,10382.599609,10673.900391,9179.599609,9214.500000,9214.500000,200312600
2000-11-30,9260.500000,9902.000000,8756.400391,9109.799805,9109.799805,143353500
2000-12-31,9109.799805,10219.500000,8946.200195,10116.000000,10116.000000,200839800
2001-01-31,10116.000000,10168.299805,9231.599609,9551.400391,9551.400391,180419100
2001-02-28,9509.000000,9963.000000,8531.799805,9308.299805,9308.299805,213876100
2001-03-31,9308.299805,9904.000000,8784.799805,9761.000000,9761.000000,182414200
2001-04-30,9761.000000,9854.599609,9370.599609,9500.700195,9500.700195,169280000
2001-05-31,9498.900391,9663.900391,8634.099609,8878.400391,8878.400391,163234500
2001-06-30,8878.400391,9104.900391,8074.500000,8480.000000,8480.000000,2038000
2001-07-31,8480.000000,8684.900391,8083.799805,8321.099609,8321.099609,1633600
2001-08-31,8321.099609,8374.400391,6260.100098,7314.000000,7314.000000,2064900
2001-09-30,7314.000000,8176.600098,6925.899902,7774.299805,7774.299805,2613400
2001-10-31,7765.000000,8742.700195,7602.700195,8364.700195,8364.700195,2377000
2001-11-30,8302.900391,8876.000000,8099.500000,8397.599609,8397.599609,1774200
2001-12-31,8397.599609,8608.500000,7737.700195,8050.399902,8050.399902,2438700
2002-01-31,8067.000000,8204.500000,7628.000000,8135.500000,8135.500000,2139200
2002-02-28,8118.399902,8481.099609,8066.000000,8249.700195,8249.700195,2072200
2002-03-31,8235.799805,8470.799805,7933.100098,8154.399902,8154.399902,2185000
2002-04-30,8202.200195,8229.700195,7788.100098,7949.899902,7949.899902,2235800
2002-05-31,7917.500000,8016.799805,6433.600098,6913.000000,6913.000000,2450200
2002-06-30,6851.399902,7165.100098,5824.200195,6249.299805,6249.299805,3371000
2002-07-31,6250.399902,6727.200195,5815.600098,6435.700195,6435.700195,2254600
2002-08-31,6433.000000,6514.500000,5293.500000,5431.700195,5431.700195,2528200
2002-09-30,5477.200195,6262.000000,5266.899902,6139.399902,6139.399902,3207400
2002-10-31,6271.700195,6766.799805,5978.600098,6685.600098,6685.600098,2388600
2002-11-30,6659.600098,6848.799805,5981.100098,6036.899902,6036.899902,2016000
2002-12-31,6050.600098,6645.500000,5789.799805,5947.700195,5947.700195,2904400
2003-01-31,5989.399902,6186.899902,5741.899902,5999.399902,5999.399902,2360400
2003-02-28,6025.700195,6258.500000,5447.700195,5870.500000,5870.500000,3045600
2003-03-31,5900.799805,6674.700195,5893.299805,6489.500000,6489.500000,2776200
2003-04-30,6471.899902,6578.100098,6177.799805,6508.500000,6508.500000,2553000
2003-05-31,6551.500000,7081.600098,6491.700195,6862.000000,6862.000000,2897400
2003-06-30,6877.500000,7067.899902,6735.299805,7061.700195,7061.700195,2803200
2003-07-31,7027.799805,7258.899902,6876.799805,7111.299805,7111.299805,1735600
2003-08-31,7156.399902,7315.399902,6664.700195,6703.600098,6703.600098,2679600
2003-09-30,6722.299805,7152.799805,6701.700195,7129.500000,7129.500000,2638600
2003-10-31,7138.200195,7318.899902,7028.200195,7252.500000,7252.500000,2380600
2003-11-30,7284.600098,7818.000000,7280.899902,7737.200195,7737.200195,2344000
2003-12-31,7746.100098,8134.799805,7743.600098,7929.899902,7929.899902,2907600
2004-01-31,7937.200195,8350.900391,7869.600098,8249.400391,8249.400391,2691000
2004-02-29,8277.099609,8376.000000,7659.299805,8018.100098,8018.100098,3463200
2004-03-31,8039.899902,8478.000000,8016.000000,8109.500000,8109.500000,2475400
2004-04-30,8084.100098,8266.000000,7605.700195,7959.299805,7959.299805,2980600
2004-05-31,7932.399902,8203.900391,7836.100098,8078.299805,8078.299805,2421800
2004-06-30,8095.799805,8141.500000,7715.100098,7919.299805,7919.299805,2603800
2004-07-31,7880.000000,7930.500000,7538.700195,7869.500000,7869.500000,2023200
2004-08-31,7894.799805,8131.200195,7893.799805,8029.200195,8029.200195,2650200
2004-09-30,8037.700195,8490.099609,8037.700195,8418.299805,8418.299805,3090400
2004-10-31,8468.099609,8784.099609,8440.599609,8693.000000,8693.000000,3420400
2004-11-30,8676.500000,9118.799805,8673.299805,9080.799805,9080.799805,2376600
2004-12-31,9085.200195,9224.599609,8907.000000,9223.900391,9223.900391,2882800
2005-01-31,9218.900391,9647.700195,9193.599609,9391.000000,9391.000000,3077400
2005-02-28,9372.200195,9581.799805,9158.000000,9258.799805,9258.799805,2879600
2005-03-31,9254.700195,9442.200195,8938.900391,9001.599609,9001.599609,3126800
2005-04-30,9027.900391,9472.400391,9020.099609,9427.099609,9427.099609,2551200
2005-05-31,9455.400391,9815.500000,9443.000000,9783.200195,9783.200195,3044800
2005-06-30,9731.000000,10162.400391,9399.299805,10115.599609,10115.599609,3318800
2005-07-31,10122.599609,10253.700195,9823.799805,10008.900391,10008.900391,2816200
2005-08-31,10049.900391,10851.400391,10048.400391,10813.900391,10813.900391,3718400
2005-09-30,10835.799805,10919.200195,10256.000000,10493.799805,10493.799805,3663400
2005-10-31,10469.400391,10716.799805,10336.099609,10557.799805,10557.799805,3566800
2005-11-30,10580.000000,10811.900391,10423.900391,10733.900391,10733.900391,2707000
2005-12-31,10725.799805,11112.099609,10611.099609,11104.299805,11104.299805,3675800
2006-01-31,11030.500000,11840.099609,11030.099609,11740.700195,11740.700195,3597600
2006-02-28,11764.599609,11970.000000,11566.799805,11854.299805,11854.299805,3757200
2006-03-31,11923.500000,11975.500000,11552.099609,11892.500000,11892.500000,2667200
