Date,Open,High,Low,Close,Adj Close,Volume
1992-10-31,123.750961,127.980217,123.397011,126.224083,126.224083,0
1992-11-30,126.246773,131.301895,125.856506,129.709137,129.709137,0
1992-12-31,129.527603,134.015518,129.255341,132.481735,132.481735,0
1993-01-31,133.262238,138.929977,132.540726,138.775696,138.775696,0
1993-02-28,139.388306,145.350998,138.362747,144.525116,144.525116,0
1993-03-31,144.606796,147.960251,142.283432,142.496704,142.496704,0
1993-04-30,142.523941,144.384445,138.140396,139.891998,139.891998,0
1993-05-31,139.864777,147.692520,138.267456,147.116211,147.116211,0
1993-06-30,147.134354,155.515717,146.095200,153.795883,153.795883,0
1993-07-31,153.777740,166.642456,152.212189,165.943634,165.943634,0
1993-08-31,165.961792,165.989014,154.794205,158.746643,158.746643,0
1993-09-30,158.764801,175.931396,158.755737,173.998276,173.998276,0
1993-10-31,174.570038,177.837265,167.146164,174.007355,174.007355,0
1993-11-30,175.336929,189.567551,175.336929,187.988373,187.988373,0
1993-12-31,188.129059,199.078827,187.448380,199.078827,199.078827,0
1994-01-31,199.859329,199.977310,187.988373,190.928894,190.928894,0
1994-02-28,190.547714,194.409393,180.805008,183.259964,183.259964,0
1994-03-31,181.181656,194.413940,181.086349,187.439316,187.439316,0
1994-04-30,187.634430,189.835281,180.269547,181.862320,181.862320,0
1994-05-31,182.747192,185.147705,169.932388,174.043655,174.043655,0
1994-06-30,173.544495,185.733093,173.181473,185.238464,185.238464,0
1994-07-31,185.501663,192.948227,184.839127,190.334442,190.334442,0
1994-08-31,190.348053,190.937973,180.904846,182.542999,182.542999,0
1994-09-30,181.866867,188.483017,176.035767,187.239639,187.239639,0
1994-10-31,186.608887,188.310577,181.267868,185.778458,185.778458,0
1994-11-30,185.728546,190.107544,183.250900,188.079147,188.079147,0
1994-12-31,188.219803,190.152924,183.368881,185.193085,185.193085,0
1995-01-31,185.964508,189.159134,184.562332,185.034256,185.034256,0
1995-02-28,184.934433,186.055267,174.815079,178.517944,178.517944,0
1995-03-31,177.596771,189.445023,177.356262,189.177292,189.177292,0
1995-04-30,189.735443,196.455963,189.631073,195.816132,195.816132,0
1995-05-31,198.066895,198.615967,195.040161,196.206375,196.206375,0
1995-06-30,195.643692,210.509598,195.516632,207.891266,207.891266,0
1995-07-31,207.596313,211.526077,207.078995,207.950272,207.950272,0
1995-08-31,208.009262,216.308929,207.700684,211.580521,211.580521,0
1995-09-30,211.385406,211.516983,200.952942,205.817490,205.817490,0
1995-10-31,205.390930,217.329956,203.920685,216.957840,216.957840,0
1995-11-30,217.103043,220.910294,212.288422,220.243225,220.243225,0
1995-12-31,221.318695,232.173157,221.060043,228.424927,228.424927,0
1996-01-31,227.998367,234.088120,225.139542,232.890137,232.890137,0
1996-02-29,233.579895,241.266953,227.971146,241.253357,241.253357,0
1996-03-31,241.684433,252.552536,241.684433,251.667648,251.667648,0
1996-04-30,251.644958,259.073395,248.618225,258.696747,258.696747,0
1996-05-31,258.447174,259.790344,250.251846,254.267822,254.267822,0
1996-06-30,254.553711,256.200928,230.888962,243.104782,243.104782,0
1996-07-31,244.425278,258.315552,242.297043,250.029495,250.029495,0
1996-08-31,250.796387,261.814209,247.901260,261.814209,261.814209,0
1996-09-30,261.383118,271.271027,260.947510,261.841461,261.841461,0
1996-10-31,263.574890,286.431915,263.366150,286.363831,286.363831,0
1996-11-30,286.336609,294.196106,267.609009,294.159821,294.159821,0
1996-12-31,290.289063,311.299194,287.157959,306.611603,306.611603,0
1997-01-31,306.275818,342.936890,304.710266,334.646271,334.646271,0
1997-02-28,334.147125,353.505463,317.892639,336.248138,336.248138,0
1997-03-31,317.066742,347.933014,316.762726,346.390167,346.390167,0
1997-04-30,350.977905,369.914246,348.613708,358.928162,358.928162,0
1997-05-31,360.139771,397.617645,360.135223,390.956116,390.956116,0
1997-06-30,394.885864,456.622955,393.365692,446.217712,446.217712,0
1997-07-31,448.572845,459.055237,392.725861,394.014618,394.014618,0
1997-08-31,395.566559,432.867462,385.075104,417.479675,417.479675,0
1997-09-30,416.013977,439.311157,347.129822,390.057617,390.057617,0
1997-10-31,396.206390,409.216309,380.755096,400.108917,400.108917,0
1997-11-30,404.011444,422.503052,396.809906,414.607239,414.607239,0
1997-12-31,420.216003,434.873169,401.778839,434.101746,434.101746,0
1998-01-31,437.673004,490.711090,432.268463,485.696777,485.696777,0
1998-02-28,485.982666,520.057190,477.673920,511.153961,511.153961,0
1998-03-31,512.361023,544.429810,501.266052,511.693970,511.693970,0
1998-04-30,533.244080,556.554871,515.410461,543.858032,543.858032,0
1998-05-31,542.283447,553.401123,515.020203,544.674866,544.674866,0
1998-06-30,548.286987,600.648926,548.286987,557.848145,557.848145,0
1998-07-31,547.692505,553.809509,472.423645,493.093445,493.093445,0
1998-08-31,472.187683,502.432281,401.678986,423.900696,423.900696,0
1998-09-30,407.296814,456.527649,366.578949,450.678406,450.678406,0
1998-10-31,459.127838,519.394653,458.034210,499.437317,499.437317,0
1998-11-30,490.166534,546.499084,450.986969,538.358215,538.358215,0
1998-12-31,545.539978,587.510010,497.630005,532.090027,532.090027,0
1999-01-31,538.799988,547.359985,505.940002,536.119995,536.119995,0
1999-02-28,536.140015,551.280029,511.170013,536.929993,536.929993,0
1999-03-31,531.750000,576.659973,530.039978,573.520020,573.520020,0
1999-04-30,571.820007,583.799988,540.789978,554.059998,554.059998,0
1999-05-31,556.020020,583.760010,550.099976,561.190002,561.190002,0
1999-06-30,570.580017,596.150024,543.159973,552.770020,552.770020,0
1999-07-31,546.549988,592.020020,527.260010,572.419983,572.419983,0
1999-08-31,573.049988,595.729980,546.109985,547.450012,547.450012,0
1999-09-30,550.359985,575.820007,527.169983,571.820007,571.820007,0
1999-10-31,571.789978,615.380005,564.039978,602.109985,602.109985,0
1999-11-30,597.210022,671.940002,596.969971,671.409973,671.409973,0
1999-12-31,677.150024,686.330017,609.960022,612.380005,612.380005,0
2000-01-31,625.609985,676.140015,617.489990,664.280029,664.280029,0
2000-02-29,673.880005,691.659973,641.830017,662.289978,662.289978,0
2000-03-31,666.960022,678.469971,618.669983,661.380005,661.380005,0
2000-04-30,668.239990,677.950012,635.760010,655.500000,655.500000,0
2000-05-31,664.690002,689.609985,661.460022,672.140015,672.140015,0
2000-06-30,674.489990,692.229980,662.739990,668.179993,668.179993,0
2000-07-31,668.950012,700.280029,666.520020,689.520020,689.520020,0
2000-08-31,693.979980,703.179993,639.719971,661.520020,661.520020,0
2000-09-30,659.750000,682.609985,619.820007,680.559998,680.559998,0
2000-10-31,685.440002,692.179993,647.109985,649.919983,649.919983,0
2000-11-30,654.270020,670.669983,610.989990,637.599976,637.599976,0
2000-12-31,636.239990,647.049988,620.419983,639.979980,639.979980,0
2001-01-31,636.820007,638.270020,583.400024,597.330017,597.330017,0
2001-02-28,593.219971,601.239990,512.450012,558.359985,558.359985,0
2001-03-31,562.880005,595.599976,524.219971,593.090027,593.090027,0
2001-04-30,597.119995,609.219971,574.710022,585.150024,585.150024,0
2001-05-31,581.099976,592.359985,547.200012,573.500000,573.500000,0
2001-06-30,572.359985,581.400024,523.429993,548.719971,548.719971,0
2001-07-31,547.380005,559.000000,515.090027,523.630005,523.630005,0
2001-08-31,523.909973,523.909973,378.359985,453.869995,453.869995,0
2001-09-30,452.309998,485.320007,426.000000,460.329987,460.329987,0
2001-10-31,461.329987,512.309998,453.339996,492.670013,492.670013,0
2001-11-30,489.760010,512.559998,473.070007,506.779999,506.779999,0
2001-12-31,503.410004,510.040009,485.350006,500.920013,500.920013,0
2002-01-31,502.130005,504.549988,475.190002,494.910004,494.910004,0
2002-02-28,492.209991,531.210022,492.100006,531.210022,531.210022,0
2002-03-31,528.599976,531.450012,503.380005,511.279999,511.279999,0
2002-04-30,512.010010,512.179993,477.890015,484.549988,484.549988,0
2002-05-31,482.399994,483.350006,395.170013,439.660004,439.660004,0
2002-06-30,434.000000,446.920013,303.720001,363.589996,363.589996,0
2002-07-31,360.570007,397.079987,311.730011,371.589996,371.589996,0
2002-08-31,369.940002,369.940002,282.790009,296.359985,296.359985,0
2002-09-30,299.070007,352.739990,285.820007,342.839996,342.839996,0
2002-10-31,338.739990,364.220001,318.799988,361.989990,361.989990,0
2002-11-30,362.200012,370.420013,315.640015,322.730011,322.730011,0
2002-12-31,323.760010,340.239990,273.140015,294.940002,294.940002,0
2003-01-31,299.429993,301.790009,249.550003,266.209991,266.209991,0
2003-02-28,270.420013,278.529999,217.800003,248.539993,248.539993,0
2003-03-31,251.220001,295.579987,248.270004,282.630005,282.630005,0
2003-04-30,280.989990,291.980011,264.799988,280.570007,280.570007,0
2003-05-31,283.579987,309.500000,281.380005,291.549988,291.549988,0
2003-06-30,293.279999,318.130005,284.140015,317.489990,317.489990,0
2003-07-31,316.670013,336.019989,305.649994,329.410004,329.410004,0
2003-08-31,331.059998,344.329987,305.299988,306.779999,306.779999,0
2003-09-30,308.820007,333.910004,306.429993,330.220001,330.220001,0
2003-10-31,331.329987,344.619995,320.829987,332.190002,332.190002,0
2003-11-30,334.660004,339.790009,324.839996,337.649994,337.649994,0
2003-12-31,338.690002,360.850006,337.970001,353.309998,353.309998,0
2004-01-31,354.510010,365.929993,347.880005,356.589996,356.589996,0
2004-02-29,357.739990,362.670013,323.369995,338.869995,338.869995,0
2004-03-31,340.790009,358.489990,338.369995,341.410004,341.410004,0
2004-04-30,338.559998,346.329987,319.109985,337.190002,337.190002,0
2004-05-31,337.859985,348.070007,331.880005,345.130005,345.130005,0
2004-06-30,346.799988,348.730011,320.720001,329.910004,329.910004,0
2004-07-31,328.640015,328.640015,307.309998,323.119995,323.119995,0
2004-08-31,324.839996,335.869995,321.859985,323.940002,323.940002,0
2004-09-30,324.579987,339.350006,320.369995,330.480011,330.480011,1591048200
2004-10-31,328.950012,345.899994,328.950012,337.149994,337.149994,2312428800
2004-11-30,337.010010,348.859985,336.279999,348.079987,348.079987,1921034600
2004-12-31,348.220001,360.420013,347.700012,360.420013,360.420013,2264488800
2005-01-31,360.720001,377.019989,360.079987,374.369995,374.369995,2289443400
