Date,Open,High,Low,Close,Adj Close,Volume
1998-06-30,5863.250000,6199.580078,5810.950195,5873.919922,5873.919922,0
1998-07-31,5811.419922,5818.149902,4752.399902,4833.890137,4833.890137,0
1998-08-31,4727.350098,5161.399902,4357.419922,4474.509766,4474.509766,0
1998-09-30,4389.209961,4722.089844,3833.709961,4671.120117,4671.120117,0
1998-10-31,4722.839844,5176.270020,4617.410156,5022.700195,5022.700195,0
1998-11-30,4986.810059,5085.470215,4451.200195,5002.390137,5002.390137,0
1998-12-31,4991.950195,5509.339844,4768.410156,5159.959961,5159.959961,0
1999-01-31,5193.029785,5287.959961,4749.450195,4911.810059,4911.810059,0
1999-02-28,4923.310059,5151.009766,4605.270020,4884.200195,4884.200195,0
1999-03-31,4852.390137,5397.640137,4779.040039,5393.109863,5393.109863,0
1999-04-30,5372.680176,5449.220215,5003.970215,5069.830078,5069.830078,0
1999-05-31,5083.620117,5500.930176,4980.629883,5378.520020,5378.520020,0
1999-06-30,5428.339844,5686.549805,5035.200195,5101.870117,5101.870117,0
1999-07-31,5088.649902,5455.839844,4948.080078,5270.770020,5270.770020,0
1999-08-31,5286.580078,5530.759766,5069.870117,5149.830078,5149.830078,0
1999-09-30,5166.569824,5557.910156,5078.589844,5525.399902,5525.399902,0
1999-10-31,5518.740234,6032.669922,5474.120117,5896.040039,5896.040039,0
1999-11-30,5891.270020,6992.919922,5836.729980,6958.140137,6958.140137,0
1999-12-31,6961.720215,7306.479980,6388.910156,6835.600098,6835.600098,0
2000-01-31,6841.120117,7813.200195,6841.120117,7644.549805,7644.549805,0
2000-02-29,7645.299805,8136.160156,7411.759766,7599.390137,7599.390137,0
2000-03-31,7599.779785,7641.529785,6890.959961,7414.680176,7414.680176,0
2000-04-30,7407.529785,7571.720215,6794.080078,7109.669922,7109.669922,0
2000-05-31,7117.569824,7486.399902,6851.839844,6882.439941,6882.439941,0
2000-06-30,6912.970215,7503.319824,6842.609863,7190.370117,7190.370117,9000000
2000-07-31,7194.029785,7395.810059,6954.600098,7244.790039,7244.790039,28000000
2000-08-31,7221.410156,7456.709961,6468.459961,6798.120117,6798.120117,22000000
2000-09-30,6800.069824,7087.919922,6297.490234,7077.439941,7077.439941,7600000
2000-10-31,7093.839844,7185.660156,6361.430176,6372.330078,6372.330078,26000000
2000-11-30,6379.259766,6813.299805,6110.259766,6433.609863,6433.609863,16000000
2000-12-31,6431.140137,6795.140137,6172.439941,6795.140137,6795.140137,0
2001-01-31,6788.569824,6788.569824,6071.350098,6208.240234,6208.240234,0
2001-02-28,6212.660156,6342.540039,5351.479980,5829.950195,5829.950195,0
2001-03-31,5843.370117,6271.200195,5383.990234,6264.509766,6264.509766,0
2001-04-30,6272.029785,6337.470215,5960.459961,6123.259766,6123.259766,0
2001-05-31,6122.959961,6278.040039,5758.689941,6058.379883,6058.379883,0
2001-06-30,6053.810059,6131.970215,5551.140137,5861.189941,5861.189941,0
2001-07-31,5859.680176,5930.450195,5124.689941,5188.169922,5188.169922,0
2001-08-31,5195.669922,5220.100098,3539.179932,4308.149902,4308.149902,0
2001-09-30,4315.060059,4874.310059,4157.600098,4559.129883,4559.129883,0
2001-10-31,4556.709961,5217.470215,4481.549805,4989.910156,4989.910156,0
2001-11-30,4986.580078,5341.859863,4872.250000,5160.100098,5160.100098,0
2001-12-31,5155.259766,5352.160156,4974.580078,5107.609863,5107.609863,0
2002-01-31,5109.479980,5165.970215,4706.009766,5039.080078,5039.080078,0
2002-02-28,5025.959961,5467.310059,5003.060059,5397.290039,5397.290039,0
2002-03-31,5379.640137,5379.640137,4929.350098,5041.200195,5041.200195,0
2002-04-30,5043.009766,5126.330078,4741.950195,4818.299805,4818.299805,0
2002-05-31,4818.069824,4850.379883,3946.699951,4382.560059,4382.560059,0
2002-06-30,4377.100098,4483.029785,3265.959961,3700.139893,3700.139893,0
2002-07-31,3699.310059,3930.959961,3235.379883,3712.939941,3712.939941,0
2002-08-31,3698.689941,3698.689941,2719.489990,2769.030029,2769.030029,0
2002-09-30,2772.959961,3299.010010,2519.300049,3152.850098,3152.850098,0
2002-10-31,3152.189941,3443.489990,2987.850098,3320.320068,3320.320068,0
2002-11-30,3332.729980,3476.830078,2836.010010,2892.629883,2892.629883,0
2002-12-31,2898.679932,3157.250000,2563.919922,2747.830078,2747.830078,0
2003-01-31,2750.399902,2802.929932,2433.149902,2547.050049,2547.050049,0
2003-02-28,2553.739990,2731.570068,2188.750000,2423.870117,2423.870117,0
2003-03-31,2426.239990,3004.790039,2395.719971,2942.040039,2942.040039,0
2003-04-30,2938.719971,3068.080078,2769.449951,2982.679932,2982.679932,0
2003-05-31,2990.929932,3324.439941,2990.929932,3220.580078,3220.580078,0
2003-06-30,3217.209961,3487.860107,3119.350098,3487.860107,3487.860107,0
2003-07-31,3481.810059,3588.530029,3299.770020,3484.580078,3484.580078,0
2003-08-31,3493.340088,3676.879883,3202.870117,3256.780029,3256.780029,0
